Voltage U1	Corriente IA
U1/V	IA/nA

0,02	0,18
0,04	0,18
0,07	0,18
0,09	0,17
0,12	0,16
0,14	0,15
0,17	0,15
0,19	0,16
0,21	0,14
0,24	0,14
0,26	0,14
0,29	0,15
0,31	0,14
0,34	0,15
0,36	0,14
0,39	0,15
0,41	0,13
0,43	0,13
0,46	0,12
0,48	0,13
0,51	0,11
0,53	0,12
0,56	0,11
0,58	0,15
0,61	0,14
0,63	0,16
0,65	0,15
0,68	0,18
0,70	0,16
0,73	0,19
0,75	0,14
0,78	0,18
0,80	0,14
0,83	0,17
0,85	0,13
0,87	0,17
0,90	0,13
0,92	0,16
0,95	0,13
0,97	0,17
1,00	0,13
1,02	0,15
1,05	0,12
1,07	0,16
1,09	0,13
1,12	0,15
1,14	0,12
1,17	0,15
1,19	0,15
1,22	0,17
1,24	0,15
1,26	0,17
1,29	0,16
1,31	0,18
1,34	0,15
1,36	0,17
1,39	0,15
1,41	0,16
1,44	0,15
1,46	0,16
1,48	0,15
1,51	0,16
1,53	0,15
1,56	0,16
1,58	0,16
1,61	0,16
1,63	0,14
1,66	0,13
1,68	0,14
1,70	0,13
1,73	0,13
1,75	0,13
1,78	0,14
1,80	0,16
1,83	0,17
1,85	0,17
1,88	0,18
1,90	0,18
1,92	0,18
1,95	0,17
1,97	0,17
2,00	0,17
2,02	0,17
2,05	0,16
2,07	0,17
2,10	0,17
2,12	0,17
2,14	0,16
2,17	0,14
2,19	0,13
2,22	0,14
2,24	0,11
2,27	0,10
2,29	0,10
2,31	0,10
2,34	0,11
2,36	0,11
2,39	0,11
2,41	0,14
2,44	0,15
2,46	0,15
2,49	0,15
2,51	0,17
2,53	0,17
2,56	0,16
2,58	0,15
2,61	0,16
2,63	0,16
2,66	0,16
2,68	0,15
2,71	0,16
2,73	0,16
2,75	0,16
2,78	0,15
2,80	0,16
2,83	0,17
2,85	0,15
2,88	0,15
2,90	0,15
2,93	0,15
2,95	0,15
2,97	0,13
3,00	0,13
3,02	0,17
3,05	0,21
3,07	0,19
3,10	0,25
3,12	0,25
3,15	0,26
3,17	0,28
3,19	0,23
3,22	0,20
3,24	0,23
3,27	0,16
3,29	0,15
3,32	0,16
3,34	0,14
3,36	0,18
3,39	0,30
3,41	0,29
3,44	0,30
3,46	0,31
3,49	0,31
3,51	0,32
3,54	0,30
3,56	0,17
3,58	0,17
3,61	0,17
3,63	0,19
3,66	0,20
3,68	0,19
3,71	0,20
3,73	0,20
3,76	0,21
3,78	0,20
3,80	0,19
3,83	0,19
3,85	0,20
3,88	0,19
3,90	0,19
3,93	0,18
3,95	0,19
3,98	0,18
4,00	0,18
4,02	0,18
4,05	0,18
4,07	0,17
4,10	0,18
4,12	0,17
4,15	0,17
4,17	0,16
4,20	0,17
4,22	0,15
4,24	0,19
4,27	0,17
4,29	0,19
4,32	0,18
4,34	0,21
4,37	0,19
4,39	0,22
4,42	0,18
4,44	0,22
4,46	0,19
4,49	0,22
4,51	0,18
4,54	0,21
4,56	0,18
4,59	0,20
4,61	0,17
4,63	0,21
4,66	0,18
4,68	0,20
4,71	0,18
4,73	0,20
4,76	0,18
4,78	0,20
4,81	0,18
4,83	0,20
4,85	0,20
4,88	0,21
4,90	0,19
4,93	0,21
4,95	0,22
4,98	0,22
5,00	0,22
5,03	0,23
5,05	0,23
5,07	0,23
5,10	0,23
5,12	0,22
5,15	0,23
5,17	0,23
5,20	0,24
5,22	0,22
5,25	0,24
5,27	0,24
5,29	0,22
5,32	0,19
5,34	0,21
5,37	0,20
5,39	0,21
5,42	0,19
5,44	0,20
5,47	0,21
5,49	0,24
5,51	0,22
5,54	0,24
5,56	0,24
5,59	0,25
5,61	0,24
5,64	0,25
5,66	0,25
5,68	0,26
5,71	0,25
5,73	0,24
5,76	0,25
5,78	0,26
5,81	0,25
5,83	0,25
5,86	0,25
5,88	0,26
5,90	0,26
5,93	0,26
5,95	0,26
5,98	0,26
6,00	0,26
6,03	0,25
6,05	0,26
6,08	0,26
6,10	0,26
6,12	0,26
6,15	0,26
6,17	0,28
6,20	0,28
6,22	0,28
6,25	0,28
6,27	0,30
6,30	0,30
6,32	0,30
6,34	0,29
6,37	0,29
6,39	0,29
6,42	0,29
6,44	0,28
6,47	0,29
6,49	0,29
6,52	0,29
6,54	0,29
6,56	0,30
6,59	0,30
6,61	0,30
6,64	0,30
6,66	0,30
6,69	0,30
6,71	0,30
6,73	0,30
6,76	0,29
6,78	0,32
6,81	0,32
6,83	0,33
6,86	0,33
6,88	0,34
6,91	0,34
6,93	0,35
6,95	0,34
6,98	0,36
