Voltage U1	Corriente IA
U1/V	IA/nA

0,02	0,16
0,04	0,15
0,07	0,15
0,09	0,16
0,12	0,15
0,14	0,16
0,17	0,16
0,19	0,17
0,21	0,16
0,24	0,17
0,26	0,16
0,29	0,16
0,31	0,15
0,34	0,16
0,36	0,16
0,39	0,17
0,41	0,16
0,43	0,15
0,46	0,14
0,48	0,15
0,51	0,13
0,53	0,13
0,56	0,12
0,58	0,13
0,61	0,14
0,63	0,15
0,65	0,13
0,68	0,15
0,70	0,15
0,73	0,17
0,75	0,16
0,78	0,18
0,80	0,16
0,83	0,18
0,85	0,16
0,87	0,17
0,90	0,15
0,92	0,17
0,95	0,14
0,97	0,17
1,00	0,14
1,02	0,17
1,05	0,13
1,07	0,16
1,09	0,14
1,12	0,16
1,14	0,12
1,17	0,15
1,19	0,12
1,22	0,15
1,24	0,13
1,26	0,15
1,29	0,12
1,31	0,18
1,34	0,14
1,36	0,17
1,39	0,15
1,41	0,18
1,44	0,15
1,46	0,19
1,48	0,14
1,51	0,17
1,53	0,14
1,56	0,16
1,58	0,13
1,61	0,15
1,63	0,12
1,66	0,13
1,68	0,11
1,70	0,14
1,73	0,12
1,75	0,14
1,78	0,12
1,80	0,14
1,83	0,13
1,85	0,14
1,88	0,13
1,90	0,14
1,92	0,15
1,95	0,15
1,97	0,15
2,00	0,16
2,02	0,17
2,05	0,17
2,07	0,17
2,10	0,16
2,12	0,18
2,14	0,17
2,17	0,17
2,19	0,17
2,22	0,17
2,24	0,16
2,27	0,17
2,29	0,16
2,31	0,17
2,34	0,16
2,36	0,16
2,39	0,15
2,41	0,17
2,44	0,15
2,46	0,15
2,49	0,14
2,51	0,15
2,53	0,16
2,56	0,16
2,58	0,15
2,61	0,16
2,63	0,17
2,66	0,18
2,68	0,18
2,71	0,17
2,73	0,18
2,75	0,17
2,78	0,17
2,80	0,17
2,83	0,16
2,85	0,16
2,88	0,16
2,90	0,16
2,93	0,17
2,95	0,16
2,97	0,15
3,00	0,15
3,02	0,15
3,05	0,15
3,07	0,15
3,10	0,14
3,12	0,16
3,15	0,18
3,17	0,18
3,19	0,18
3,22	0,18
3,24	0,18
3,27	0,18
3,29	0,18
3,32	0,16
3,34	0,16
3,36	0,17
3,39	0,17
3,41	0,17
3,44	0,17
3,46	0,17
3,49	0,18
3,51	0,18
3,54	0,17
3,56	0,17
3,58	0,16
3,61	0,16
3,63	0,15
3,66	0,16
3,68	0,15
3,71	0,15
3,73	0,15
3,76	0,18
3,78	0,17
3,80	0,18
3,83	0,17
3,85	0,19
3,88	0,19
3,90	0,19
3,93	0,18
3,95	0,19
3,98	0,19
4,00	0,20
4,02	0,18
4,05	0,20
4,07	0,19
4,10	0,20
4,12	0,18
4,15	0,18
4,17	0,17
4,20	0,17
4,22	0,16
4,24	0,17
4,27	0,16
4,29	0,16
4,32	0,16
4,34	0,17
4,37	0,18
4,39	0,18
4,42	0,18
4,44	0,18
4,46	0,20
4,49	0,19
4,51	0,19
4,54	0,19
4,56	0,19
4,59	0,19
4,61	0,19
4,63	0,18
4,66	0,17
4,68	0,18
4,71	0,17
4,73	0,18
4,76	0,17
4,78	0,18
4,81	0,16
4,83	0,18
4,85	0,16
4,88	0,18
4,90	0,14
4,93	0,17
4,95	0,15
4,98	0,19
5,00	0,17
5,03	0,19
5,05	0,18
5,07	0,22
5,10	0,19
5,12	0,21
5,15	0,18
5,17	0,20
5,20	0,19
5,22	0,20
5,25	0,17
5,27	0,19
5,29	0,17
5,32	0,19
5,34	0,18
5,37	0,19
5,39	0,19
5,42	0,19
5,44	0,18
5,47	0,19
5,49	0,19
5,51	0,18
5,54	0,18
5,56	0,18
5,59	0,20
5,61	0,18
5,64	0,19
5,66	0,19
5,68	0,21
5,71	0,20
5,73	0,22
5,76	0,21
5,78	0,24
5,81	0,22
5,83	0,24
5,86	0,21
5,88	0,24
5,90	0,21
5,93	0,23
5,95	0,19
5,98	0,21
6,00	0,18
6,03	0,20
6,05	0,17
6,08	0,21
6,10	0,19
6,12	0,20
6,15	0,21
6,17	0,22
6,20	0,21
6,22	0,22
6,25	0,21
6,27	0,22
6,30	0,24
6,32	0,23
6,34	0,24
6,37	0,25
6,39	0,26
6,42	0,27
6,44	0,28
6,47	0,28
6,49	0,29
6,52	0,29
6,54	0,29
6,56	0,29
6,59	0,29
6,61	0,28
6,64	0,26
6,66	0,25
6,69	0,25
6,71	0,24
6,73	0,24
6,76	0,24
6,78	0,24
6,81	0,25
6,83	0,26
6,86	0,26
6,88	0,26
6,91	0,28
6,93	0,28
6,95	0,28
6,98	0,28
