Voltage U1	Corriente IA
U1/V	IA/nA

0,02	0,15
0,04	0,16
0,07	0,17
0,09	0,17
0,12	0,18
0,14	0,15
0,17	0,17
0,19	0,16
0,21	0,16
0,24	0,15
0,26	0,16
0,29	0,15
0,31	0,16
0,34	0,15
0,36	0,16
0,39	0,15
0,41	0,13
0,43	0,13
0,46	0,13
0,48	0,13
0,51	0,13
0,53	0,13
0,56	0,13
0,58	0,16
0,61	0,16
0,63	0,16
0,65	0,16
0,68	0,18
0,70	0,18
0,73	0,17
0,75	0,17
0,78	0,17
0,80	0,17
0,83	0,17
0,85	0,16
0,87	0,16
0,90	0,16
0,92	0,15
0,95	0,15
0,97	0,15
1,00	0,15
1,02	0,14
1,05	0,14
1,07	0,14
1,09	0,15
1,12	0,14
1,14	0,13
1,17	0,14
1,19	0,17
1,22	0,17
1,24	0,17
1,26	0,17
1,29	0,18
1,31	0,19
1,34	0,18
1,36	0,17
1,39	0,16
1,41	0,17
1,44	0,16
1,46	0,16
1,48	0,16
1,51	0,17
1,53	0,16
1,56	0,17
1,58	0,16
1,61	0,16
1,63	0,14
1,66	0,15
1,68	0,13
1,70	0,15
1,73	0,12
1,75	0,15
1,78	0,13
1,80	0,17
1,83	0,14
1,85	0,16
1,88	0,13
1,90	0,18
1,92	0,15
1,95	0,17
1,97	0,15
2,00	0,18
2,02	0,16
2,05	0,19
2,07	0,15
2,10	0,18
2,12	0,15
2,14	0,17
2,17	0,14
2,19	0,17
2,22	0,14
2,24	0,15
2,27	0,12
2,29	0,15
2,31	0,12
2,34	0,14
2,36	0,11
2,39	0,14
2,41	0,13
2,44	0,16
2,46	0,13
2,49	0,17
2,51	0,16
2,53	0,19
2,56	0,16
2,58	0,19
2,61	0,17
2,63	0,19
2,66	0,17
2,68	0,19
2,71	0,18
2,73	0,20
2,75	0,18
2,78	0,19
2,80	0,18
2,83	0,18
2,85	0,16
2,88	0,16
2,90	0,15
2,93	0,16
2,95	0,15
2,97	0,15
3,00	0,16
3,02	0,17
3,05	0,17
3,07	0,17
3,10	0,18
3,12	0,19
3,15	0,20
3,17	0,19
3,19	0,20
3,22	0,20
3,24	0,21
3,27	0,20
3,29	0,19
3,32	0,19
3,34	0,20
3,36	0,19
3,39	0,20
3,41	0,20
3,44	0,20
3,46	0,18
3,49	0,18
3,51	0,17
3,54	0,18
3,56	0,16
3,58	0,15
3,61	0,14
3,63	0,16
3,66	0,15
3,68	0,16
3,71	0,16
3,73	0,19
3,76	0,20
3,78	0,21
3,80	0,21
3,83	0,23
3,85	0,23
3,88	0,22
3,90	0,21
3,93	0,22
3,95	0,22
3,98	0,22
4,00	0,22
4,02	0,22
4,05	0,21
4,07	0,21
4,10	0,21
4,12	0,20
4,15	0,20
4,17	0,18
4,20	0,18
4,22	0,19
4,24	0,19
4,27	0,19
4,29	0,19
4,32	0,20
4,34	0,23
4,37	0,23
4,39	0,23
4,42	0,23
4,44	0,24
4,46	0,25
4,49	0,24
4,51	0,23
4,54	0,22
4,56	0,23
4,59	0,23
4,61	0,22
4,63	0,22
4,66	0,22
4,68	0,22
4,71	0,22
4,73	0,22
4,76	0,22
4,78	0,20
4,81	0,20
4,83	0,21
4,85	0,20
4,88	0,21
4,90	0,20
4,93	0,22
4,95	0,23
4,98	0,23
5,00	0,22
5,03	0,24
5,05	0,23
5,07	0,24
5,10	0,22
5,12	0,23
5,15	0,22
5,17	0,23
5,20	0,20
5,22	0,22
5,25	0,21
5,27	0,22
5,29	0,20
5,32	0,22
5,34	0,20
5,37	0,23
5,39	0,18
5,42	0,21
5,44	0,19
5,47	0,22
5,49	0,20
5,51	0,23
5,54	0,20
5,56	0,26
5,59	0,23
5,61	0,26
5,64	0,23
5,66	0,27
5,68	0,24
5,71	0,27
5,73	0,22
5,76	0,26
5,78	0,23
5,81	0,26
5,83	0,22
5,86	0,24
5,88	0,21
5,90	0,24
5,93	0,20
5,95	0,24
5,98	0,21
6,00	0,22
6,03	0,20
6,05	0,23
6,08	0,21
6,10	0,23
6,12	0,21
6,15	0,23
6,17	0,25
6,20	0,26
6,22	0,24
6,25	0,26
6,27	0,26
6,30	0,27
6,32	0,25
6,34	0,25
6,37	0,26
6,39	0,26
6,42	0,25
6,44	0,24
6,47	0,24
6,49	0,24
6,52	0,24
6,54	0,24
6,56	0,24
6,59	0,24
6,61	0,25
6,64	0,23
6,66	0,24
6,69	0,23
6,71	0,24
6,73	0,23
6,76	0,24
6,78	0,25
6,81	0,27
6,83	0,26
6,86	0,28
6,88	0,28
6,91	0,29
6,93	0,28
6,95	0,28
6,98	0,27
