Voltage U1	Corriente IA
U1/V	IA/nA

0,02	0,14
0,04	0,14
0,07	0,13
0,09	0,14
0,12	0,13
0,14	0,14
0,17	0,13
0,19	0,13
0,21	0,12
0,24	0,15
0,26	0,13
0,29	0,14
0,31	0,13
0,34	0,15
0,36	0,14
0,39	0,16
0,41	0,14
0,43	0,16
0,46	0,14
0,48	0,15
0,51	0,14
0,53	0,15
0,56	0,14
0,58	0,15
0,61	0,13
0,63	0,14
0,65	0,13
0,68	0,13
0,70	0,12
0,73	0,13
0,75	0,12
0,78	0,12
0,80	0,11
0,83	0,13
0,85	0,14
0,87	0,15
0,90	0,14
0,92	0,15
0,95	0,15
0,97	0,16
1,00	0,15
1,02	0,14
1,05	0,14
1,07	0,15
1,09	0,14
1,12	0,14
1,14	0,15
1,17	0,15
1,19	0,15
1,22	0,16
1,24	0,16
1,26	0,16
1,29	0,14
1,31	0,14
1,34	0,14
1,36	0,13
1,39	0,12
1,41	0,12
1,44	0,12
1,46	0,15
1,48	0,15
1,51	0,15
1,53	0,16
1,56	0,17
1,58	0,17
1,61	0,17
1,63	0,16
1,66	0,17
1,68	0,16
1,70	0,16
1,73	0,15
1,75	0,15
1,78	0,15
1,80	0,14
1,83	0,13
1,85	0,13
1,88	0,14
1,90	0,12
1,92	0,12
1,95	0,12
1,97	0,13
2,00	0,12
2,02	0,12
2,05	0,11
2,07	0,14
2,10	0,13
2,12	0,14
2,14	0,13
2,17	0,16
2,19	0,15
2,22	0,15
2,24	0,13
2,27	0,15
2,29	0,14
2,31	0,15
2,34	0,13
2,36	0,15
2,39	0,14
2,41	0,15
2,44	0,14
2,46	0,16
2,49	0,14
2,51	0,15
2,53	0,13
2,56	0,14
2,58	0,13
2,61	0,13
2,63	0,12
2,66	0,13
2,68	0,14
2,71	0,14
2,73	0,14
2,75	0,15
2,78	0,16
2,80	0,16
2,83	0,16
2,85	0,15
2,88	0,15
2,90	0,15
2,93	0,15
2,95	0,14
2,97	0,14
3,00	0,14
3,02	0,14
3,05	0,14
3,07	0,14
3,10	0,15
3,12	0,13
3,15	0,13
3,17	0,13
3,19	0,13
3,22	0,12
3,24	0,12
3,27	0,12
3,29	0,14
3,32	0,13
3,34	0,13
3,36	0,13
3,39	0,15
3,41	0,14
3,44	0,15
3,46	0,15
3,49	0,15
3,51	0,16
3,54	0,15
3,56	0,15
3,58	0,15
3,61	0,15
3,63	0,15
3,66	0,14
3,68	0,14
3,71	0,14
3,73	0,12
3,76	0,13
3,78	0,12
3,80	0,13
3,83	0,11
3,85	0,12
3,88	0,12
3,90	0,15
3,93	0,13
3,95	0,14
3,98	0,13
4,00	0,16
4,02	0,15
4,05	0,16
4,07	0,15
4,10	0,17
4,12	0,16
4,15	0,17
4,17	0,14
4,20	0,16
4,22	0,15
4,24	0,16
4,27	0,14
4,29	0,15
4,32	0,14
4,34	0,14
4,37	0,14
4,39	0,16
4,42	0,14
4,44	0,15
4,46	0,14
4,49	0,16
4,51	0,15
4,54	0,16
4,56	0,13
4,59	0,16
4,61	0,15
4,63	0,18
4,66	0,15
4,68	0,17
4,71	0,15
4,73	0,18
4,76	0,15
4,78	0,17
4,81	0,15
4,83	0,17
4,85	0,14
4,88	0,17
4,90	0,15
4,93	0,16
4,95	0,13
4,98	0,15
5,00	0,13
5,03	0,16
5,05	0,12
5,07	0,14
5,10	0,13
5,12	0,16
5,15	0,14
5,17	0,16
5,20	0,14
5,22	0,17
5,25	0,15
5,27	0,16
5,29	0,16
5,32	0,17
5,34	0,16
5,37	0,17
5,39	0,16
5,42	0,17
5,44	0,17
5,47	0,17
5,49	0,17
5,51	0,17
5,54	0,17
5,56	0,17
5,59	0,18
5,61	0,17
5,64	0,18
5,66	0,16
5,68	0,17
5,71	0,16
5,73	0,17
5,76	0,16
5,78	0,17
5,81	0,16
5,83	0,19
5,86	0,18
5,88	0,19
5,90	0,19
5,93	0,20
5,95	0,19
5,98	0,21
6,00	0,19
6,03	0,20
6,05	0,20
6,08	0,21
6,10	0,20
6,12	0,21
6,15	0,21
6,17	0,21
6,20	0,21
6,22	0,21
6,25	0,21
6,27	0,19
6,30	0,19
6,32	0,20
6,34	0,20
6,37	0,20
6,39	0,21
6,42	0,21
6,44	0,25
6,47	0,25
6,49	0,25
6,52	0,25
6,54	0,26
6,56	0,26
6,59	0,26
6,61	0,25
6,64	0,26
6,66	0,25
6,69	0,25
6,71	0,25
6,73	0,25
6,76	0,26
6,78	0,25
6,81	0,25
6,83	0,26
6,86	0,27
6,88	0,25
6,91	0,25
6,93	0,26
6,95	0,22
6,98	0,19
