Voltage U1	Corriente IA
U1/V	IA/nA

0,02	0,13
0,04	0,13
0,07	0,13
0,09	0,13
0,12	0,15
0,14	0,14
0,17	0,15
0,19	0,14
0,21	0,14
0,24	0,14
0,26	0,14
0,29	0,13
0,31	0,13
0,34	0,13
0,36	0,12
0,39	0,13
0,41	0,13
0,43	0,13
0,46	0,12
0,48	0,12
0,51	0,13
0,53	0,15
0,56	0,15
0,58	0,15
0,61	0,15
0,63	0,16
0,65	0,16
0,68	0,16
0,70	0,14
0,73	0,14
0,75	0,14
0,78	0,13
0,80	0,13
0,83	0,14
0,85	0,14
0,87	0,14
0,90	0,14
0,92	0,14
0,95	0,14
0,97	0,12
1,00	0,12
1,02	0,12
1,05	0,12
1,07	0,12
1,09	0,12
1,12	0,12
1,14	0,14
1,17	0,14
1,19	0,14
1,22	0,15
1,24	0,16
1,26	0,16
1,29	0,16
1,31	0,15
1,34	0,15
1,36	0,16
1,39	0,15
1,41	0,15
1,44	0,15
1,46	0,16
1,48	0,14
1,51	0,15
1,53	0,13
1,56	0,14
1,58	0,12
1,61	0,13
1,63	0,13
1,66	0,15
1,68	0,12
1,70	0,13
1,73	0,12
1,75	0,16
1,78	0,14
1,80	0,14
1,83	0,13
1,85	0,16
1,88	0,16
1,90	0,17
1,92	0,15
1,95	0,16
1,97	0,15
2,00	0,15
2,02	0,15
2,05	0,15
2,07	0,14
2,10	0,14
2,12	0,14
2,14	0,14
2,17	0,14
2,19	0,13
2,22	0,13
2,24	0,13
2,27	0,13
2,29	0,12
2,31	0,12
2,34	0,13
2,36	0,15
2,39	0,14
2,41	0,14
2,44	0,15
2,46	0,16
2,49	0,16
2,51	0,16
2,53	0,15
2,56	0,16
2,58	0,16
2,61	0,17
2,63	0,16
2,66	0,17
2,68	0,16
2,71	0,16
2,73	0,16
2,75	0,16
2,78	0,16
2,80	0,16
2,83	0,15
2,85	0,16
2,88	0,15
2,90	0,15
2,93	0,15
2,95	0,16
2,97	0,17
3,00	0,18
3,02	0,17
3,05	0,18
3,07	0,19
3,10	0,19
3,12	0,19
3,15	0,18
3,17	0,18
3,19	0,18
3,22	0,18
3,24	0,18
3,27	0,18
3,29	0,19
3,32	0,18
3,34	0,18
3,36	0,19
3,39	0,20
3,41	0,18
3,44	0,19
3,46	0,19
3,49	0,19
3,51	0,19
3,54	0,19
3,56	0,19
3,58	0,21
3,61	0,21
3,63	0,21
3,66	0,22
3,68	0,24
3,71	0,24
3,73	0,23
3,76	0,24
3,78	0,24
3,80	0,25
3,83	0,25
3,85	0,25
3,88	0,25
3,90	0,25
3,93	0,26
3,95	0,26
3,98	0,26
4,00	0,26
4,02	0,24
4,05	0,25
4,07	0,25
4,10	0,25
4,12	0,24
4,15	0,25
4,17	0,25
4,20	0,27
4,22	0,27
4,24	0,27
4,27	0,28
4,29	0,30
4,32	0,30
4,34	0,30
4,37	0,30
4,39	0,31
4,42	0,31
4,44	0,32
4,46	0,31
4,49	0,32
4,51	0,32
4,54	0,33
4,56	0,33
4,59	0,34
4,61	0,34
4,63	0,34
4,66	0,33
4,68	0,35
4,71	0,34
4,73	0,35
4,76	0,34
4,78	0,38
4,81	0,36
4,83	0,38
4,85	0,36
4,88	0,39
4,90	0,38
4,93	0,39
4,95	0,35
4,98	0,40
5,00	0,37
5,03	0,41
5,05	0,36
5,07	0,40
5,10	0,37
5,12	0,42
5,15	0,38
5,17	0,43
5,20	0,39
5,22	0,44
5,25	0,38
5,27	0,41
5,29	0,40
5,32	0,42
5,34	0,40
5,37	0,42
5,39	0,41
5,42	0,45
5,44	0,47
5,47	0,46
5,49	0,49
5,51	0,51
5,54	0,54
5,56	0,54
5,59	0,56
5,61	0,57
5,64	0,60
5,66	0,59
5,68	0,60
5,71	0,61
5,73	0,63
5,76	0,63
5,78	0,66
5,81	0,66
5,83	0,69
5,86	0,69
5,88	0,71
5,90	0,71
5,93	0,72
5,95	0,71
5,98	0,73
6,00	0,73
6,03	0,75
6,05	0,75
6,08	0,77
6,10	0,78
6,12	0,83
6,15	0,83
6,17	0,85
6,20	0,85
6,22	0,88
6,25	0,87
6,27	0,90
6,30	0,89
6,32	0,92
6,34	0,93
6,37	0,95
6,39	0,95
6,42	0,98
6,44	0,99
6,47	1,01
6,49	1,01
6,52	1,03
6,54	1,04
6,56	1,04
6,59	1,05
6,61	1,06
6,64	1,08
6,66	1,08
6,69	1,09
6,71	1,10
6,73	1,12
6,76	1,12
6,78	1,12
6,81	1,12
6,83	1,14
6,86	1,12
6,88	1,13
6,91	1,10
6,93	1,12
6,95	1,09
6,98	1,09
