Voltage U1	Corriente IA
U1/V	IA/nA

0,02	0,15
0,04	0,15
0,07	0,14
0,09	0,15
0,12	0,15
0,14	0,15
0,17	0,13
0,19	0,15
0,21	0,15
0,24	0,15
0,26	0,14
0,29	0,15
0,31	0,15
0,34	0,14
0,36	0,14
0,39	0,14
0,41	0,13
0,43	0,12
0,46	0,12
0,48	0,12
0,51	0,12
0,53	0,12
0,56	0,12
0,58	0,13
0,61	0,16
0,63	0,16
0,65	0,16
0,68	0,16
0,70	0,17
0,73	0,16
0,75	0,15
0,78	0,14
0,80	0,15
0,83	0,14
0,85	0,14
0,87	0,14
0,90	0,14
0,92	0,15
0,95	0,15
0,97	0,14
1,00	0,15
1,02	0,14
1,05	0,13
1,07	0,13
1,09	0,13
1,12	0,12
1,14	0,12
1,17	0,11
1,19	0,12
1,22	0,13
1,24	0,14
1,26	0,13
1,29	0,14
1,31	0,14
1,34	0,16
1,36	0,15
1,39	0,15
1,41	0,14
1,44	0,15
1,46	0,14
1,48	0,16
1,51	0,14
1,53	0,15
1,56	0,14
1,58	0,15
1,61	0,13
1,63	0,16
1,66	0,12
1,68	0,14
1,70	0,12
1,73	0,14
1,75	0,12
1,78	0,14
1,80	0,11
1,83	0,15
1,85	0,12
1,88	0,15
1,90	0,12
1,92	0,16
1,95	0,13
1,97	0,16
2,00	0,12
2,02	0,16
2,05	0,13
2,07	0,16
2,10	0,12
2,12	0,16
2,14	0,12
2,17	0,15
2,19	0,12
2,22	0,15
2,24	0,12
2,27	0,13
2,29	0,11
2,31	0,14
2,34	0,11
2,36	0,14
2,39	0,11
2,41	0,14
2,44	0,13
2,46	0,16
2,49	0,13
2,51	0,15
2,53	0,14
2,56	0,16
2,58	0,14
2,61	0,16
2,63	0,15
2,66	0,17
2,68	0,16
2,71	0,16
2,73	0,15
2,75	0,16
2,78	0,16
2,80	0,15
2,83	0,14
2,85	0,14
2,88	0,13
2,90	0,13
2,93	0,14
2,95	0,13
2,97	0,13
3,00	0,12
3,02	0,13
3,05	0,14
3,07	0,15
3,10	0,15
3,12	0,16
3,15	0,16
3,17	0,18
3,19	0,17
3,22	0,17
3,24	0,16
3,27	0,16
3,29	0,15
3,32	0,15
3,34	0,15
3,36	0,16
3,39	0,15
3,41	0,16
3,44	0,16
3,46	0,16
3,49	0,15
3,51	0,15
3,54	0,16
3,56	0,16
3,58	0,15
3,61	0,15
3,63	0,15
3,66	0,16
3,68	0,16
3,71	0,15
3,73	0,16
3,76	0,17
3,78	0,18
3,80	0,18
3,83	0,19
3,85	0,20
3,88	0,20
3,90	0,20
3,93	0,20
3,95	0,20
3,98	0,21
4,00	0,20
4,02	0,20
4,05	0,20
4,07	0,20
4,10	0,19
4,12	0,19
4,15	0,19
4,17	0,19
4,20	0,18
4,22	0,18
4,24	0,18
4,27	0,19
4,29	0,19
4,32	0,20
4,34	0,20
4,37	0,22
4,39	0,22
4,42	0,23
4,44	0,23
4,46	0,25
4,49	0,24
4,51	0,25
4,54	0,23
4,56	0,25
4,59	0,23
4,61	0,23
4,63	0,21
4,66	0,23
4,68	0,21
4,71	0,22
4,73	0,20
4,76	0,22
4,78	0,21
4,81	0,22
4,83	0,21
4,85	0,24
4,88	0,22
4,90	0,26
4,93	0,22
4,95	0,25
4,98	0,25
5,00	0,27
5,03	0,24
5,05	0,28
5,07	0,25
5,10	0,29
5,12	0,26
5,15	0,29
5,17	0,26
5,20	0,29
5,22	0,26
5,25	0,28
5,27	0,26
5,29	0,29
5,32	0,26
5,34	0,29
5,37	0,26
5,39	0,30
5,42	0,27
5,44	0,30
5,47	0,28
5,49	0,31
5,51	0,29
5,54	0,32
5,56	0,30
5,59	0,34
5,61	0,33
5,64	0,35
5,66	0,33
5,68	0,37
5,71	0,35
5,73	0,37
5,76	0,35
5,78	0,37
5,81	0,36
5,83	0,37
5,86	0,37
5,88	0,38
5,90	0,37
5,93	0,38
5,95	0,38
5,98	0,39
6,00	0,40
6,03	0,40
6,05	0,41
6,08	0,41
6,10	0,44
6,12	0,41
6,15	0,44
6,17	0,42
6,20	0,47
6,22	0,44
6,25	0,46
6,27	0,44
6,30	0,48
6,32	0,45
6,34	0,49
6,37	0,44
6,39	0,49
6,42	0,46
6,44	0,50
6,47	0,46
6,49	0,51
6,52	0,47
6,54	0,51
6,56	0,46
6,59	0,52
6,61	0,47
6,64	0,51
6,66	0,46
6,69	0,48
6,71	0,47
6,73	0,49
6,76	0,46
6,78	0,49
6,81	0,49
6,83	0,52
6,86	0,52
6,88	0,51
6,91	0,54
6,93	0,53
6,95	0,54
6,98	0,52
