Voltage U1	Corriente IA
U1/V	IA/nA

0,02	0,14
0,04	0,14
0,07	0,13
0,09	0,12
0,12	0,11
0,14	0,12
0,17	0,12
0,19	0,12
0,21	0,12
0,24	0,13
0,26	0,13
0,29	0,12
0,31	0,12
0,34	0,13
0,36	0,12
0,39	0,12
0,41	0,12
0,43	0,12
0,46	0,14
0,48	0,15
0,51	0,13
0,53	0,14
0,56	0,14
0,58	0,15
0,61	0,14
0,63	0,14
0,65	0,13
0,68	0,14
0,70	0,13
0,73	0,14
0,75	0,13
0,78	0,13
0,80	0,12
0,83	0,13
0,85	0,13
0,87	0,13
0,90	0,11
0,92	0,13
0,95	0,13
0,97	0,13
1,00	0,12
1,02	0,12
1,05	0,13
1,07	0,15
1,09	0,14
1,12	0,14
1,14	0,14
1,17	0,16
1,19	0,16
1,22	0,15
1,24	0,13
1,26	0,14
1,29	0,13
1,31	0,14
1,34	0,13
1,36	0,14
1,39	0,14
1,41	0,14
1,44	0,14
1,46	0,15
1,48	0,14
1,51	0,13
1,53	0,13
1,56	0,13
1,58	0,12
1,61	0,12
1,63	0,11
1,66	0,11
1,68	0,14
1,70	0,14
1,73	0,14
1,75	0,14
1,78	0,15
1,80	0,14
1,83	0,14
1,85	0,13
1,88	0,14
1,90	0,14
1,92	0,14
1,95	0,13
1,97	0,14
2,00	0,13
2,02	0,14
2,05	0,13
2,07	0,13
2,10	0,13
2,12	0,13
2,14	0,11
2,17	0,12
2,19	0,11
2,22	0,11
2,24	0,10
2,27	0,11
2,29	0,12
2,31	0,13
2,34	0,12
2,36	0,13
2,39	0,13
2,41	0,14
2,44	0,13
2,46	0,14
2,49	0,13
2,51	0,15
2,53	0,14
2,56	0,15
2,58	0,13
2,61	0,16
2,63	0,13
2,66	0,15
2,68	0,13
2,71	0,15
2,73	0,12
2,75	0,15
2,78	0,12
2,80	0,15
2,83	0,12
2,85	0,15
2,88	0,12
2,90	0,17
2,93	0,13
2,95	0,16
2,97	0,13
3,00	0,17
3,02	0,13
3,05	0,16
3,07	0,12
3,10	0,16
3,12	0,13
3,15	0,16
3,17	0,13
3,19	0,16
3,22	0,13
3,24	0,16
3,27	0,13
3,29	0,15
3,32	0,13
3,34	0,14
3,36	0,12
3,39	0,15
3,41	0,12
3,44	0,14
3,46	0,13
3,49	0,14
3,51	0,15
3,54	0,15
3,56	0,15
3,58	0,16
3,61	0,17
3,63	0,17
3,66	0,17
3,68	0,17
3,71	0,18
3,73	0,17
3,76	0,18
3,78	0,17
3,80	0,19
3,83	0,18
3,85	0,18
3,88	0,18
3,90	0,19
3,93	0,18
3,95	0,18
3,98	0,18
4,00	0,20
4,02	0,19
4,05	0,19
4,07	0,19
4,10	0,20
4,12	0,21
4,15	0,21
4,17	0,20
4,20	0,21
4,22	0,23
4,24	0,24
4,27	0,25
4,29	0,25
4,32	0,27
4,34	0,27
4,37	0,27
4,39	0,27
4,42	0,28
4,44	0,28
4,46	0,29
4,49	0,29
4,51	0,30
4,54	0,31
4,56	0,31
4,59	0,31
4,61	0,32
4,63	0,32
4,66	0,32
4,68	0,32
4,71	0,33
4,73	0,34
4,76	0,34
4,78	0,35
4,81	0,37
4,83	0,39
4,85	0,41
4,88	0,41
4,90	0,43
4,93	0,44
4,95	0,44
4,98	0,44
5,00	0,44
5,03	0,44
5,05	0,45
5,07	0,46
5,10	0,47
5,12	0,48
5,15	0,49
5,17	0,49
5,20	0,50
5,22	0,50
5,25	0,51
5,27	0,50
5,29	0,52
5,32	0,53
5,34	0,55
5,37	0,55
5,39	0,57
5,42	0,58
5,44	0,64
5,47	0,60
5,49	0,63
5,51	0,59
5,54	0,64
5,56	0,60
5,59	0,63
5,61	0,56
5,64	0,64
5,66	0,58
5,68	0,66
5,71	0,59
5,73	0,67
5,76	0,61
5,78	0,69
5,81	0,63
5,83	0,70
5,86	0,64
5,88	0,70
5,90	0,63
5,93	0,71
5,95	0,65
5,98	0,72
6,00	0,68
6,03	0,74
6,05	0,73
6,08	0,78
6,10	0,74
6,12	0,79
6,15	0,74
6,17	0,78
6,20	0,75
6,22	0,76
6,25	0,75
6,27	0,77
6,30	0,76
6,32	0,78
6,34	0,77
6,37	0,78
6,39	0,77
6,42	0,77
6,44	0,78
6,47	0,76
6,49	0,76
6,52	0,74
6,54	0,76
6,56	0,74
6,59	0,76
6,61	0,73
6,64	0,76
6,66	0,74
6,69	0,78
6,71	0,74
6,73	0,79
6,76	0,75
6,78	0,79
6,81	0,74
6,83	0,78
6,86	0,72
6,88	0,77
6,91	0,70
6,93	0,74
6,95	0,68
6,98	0,73
