Voltage U1	Corriente IA
U1/V	IA/nA

0,02	0,11
0,04	0,12
0,07	0,11
0,09	0,11
0,12	0,11
0,14	0,11
0,17	0,11
0,19	0,14
0,21	0,13
0,24	0,13
0,26	0,13
0,29	0,14
0,31	0,14
0,34	0,13
0,36	0,12
0,39	0,12
0,41	0,12
0,43	0,11
0,46	0,11
0,48	0,10
0,51	0,13
0,53	0,12
0,56	0,13
0,58	0,13
0,61	0,14
0,63	0,12
0,65	0,13
0,68	0,11
0,70	0,12
0,73	0,11
0,75	0,12
0,78	0,11
0,80	0,12
0,83	0,11
0,85	0,13
0,87	0,13
0,90	0,14
0,92	0,14
0,95	0,14
0,97	0,14
1,00	0,15
1,02	0,14
1,05	0,14
1,07	0,14
1,09	0,14
1,12	0,14
1,14	0,14
1,17	0,15
1,19	0,14
1,22	0,15
1,24	0,12
1,26	0,14
1,29	0,12
1,31	0,14
1,34	0,11
1,36	0,12
1,39	0,11
1,41	0,14
1,44	0,12
1,46	0,14
1,48	0,13
1,51	0,15
1,53	0,14
1,56	0,14
1,58	0,14
1,61	0,14
1,63	0,13
1,66	0,14
1,68	0,13
1,70	0,14
1,73	0,14
1,75	0,14
1,78	0,14
1,80	0,14
1,83	0,14
1,85	0,12
1,88	0,12
1,90	0,13
1,92	0,12
1,95	0,11
1,97	0,11
2,00	0,11
2,02	0,12
2,05	0,12
2,07	0,11
2,10	0,11
2,12	0,13
2,14	0,13
2,17	0,14
2,19	0,14
2,22	0,15
2,24	0,15
2,27	0,15
2,29	0,14
2,31	0,14
2,34	0,14
2,36	0,14
2,39	0,14
2,41	0,14
2,44	0,14
2,46	0,14
2,49	0,13
2,51	0,13
2,53	0,13
2,56	0,13
2,58	0,12
2,61	0,13
2,63	0,11
2,66	0,12
2,68	0,12
2,71	0,13
2,73	0,14
2,75	0,14
2,78	0,13
2,80	0,15
2,83	0,15
2,85	0,16
2,88	0,15
2,90	0,15
2,93	0,15
2,95	0,15
2,97	0,14
3,00	0,14
3,02	0,14
3,05	0,14
3,07	0,14
3,10	0,15
3,12	0,14
3,15	0,15
3,17	0,14
3,19	0,14
3,22	0,14
3,24	0,13
3,27	0,12
3,29	0,12
3,32	0,13
3,34	0,16
3,36	0,15
3,39	0,15
3,41	0,16
3,44	0,17
3,46	0,17
3,49	0,16
3,51	0,15
3,54	0,16
3,56	0,16
3,58	0,17
3,61	0,16
3,63	0,17
3,66	0,17
3,68	0,17
3,71	0,17
3,73	0,17
3,76	0,17
3,78	0,16
3,80	0,16
3,83	0,17
3,85	0,18
3,88	0,17
3,90	0,18
3,93	0,18
3,95	0,20
3,98	0,21
4,00	0,21
4,02	0,20
4,05	0,22
4,07	0,21
4,10	0,22
4,12	0,20
4,15	0,21
4,17	0,20
4,20	0,21
4,22	0,19
4,24	0,21
4,27	0,19
4,29	0,22
4,32	0,20
4,34	0,23
4,37	0,22
4,39	0,23
4,42	0,20
4,44	0,23
4,46	0,21
4,49	0,23
4,51	0,20
4,54	0,23
4,56	0,23
4,59	0,27
4,61	0,24
4,63	0,28
4,66	0,26
4,68	0,30
4,71	0,26
4,73	0,29
4,76	0,26
4,78	0,30
4,81	0,27
4,83	0,31
4,85	0,27
4,88	0,33
4,90	0,30
4,93	0,33
4,95	0,30
4,98	0,32
5,00	0,31
5,03	0,32
5,05	0,31
5,07	0,33
5,10	0,33
5,12	0,35
5,15	0,36
5,17	0,39
5,20	0,40
5,22	0,40
5,25	0,42
5,27	0,43
5,29	0,45
5,32	0,45
5,34	0,46
5,37	0,47
5,39	0,49
5,42	0,49
5,44	0,51
5,47	0,52
5,49	0,54
5,51	0,54
5,54	0,56
5,56	0,56
5,59	0,58
5,61	0,57
5,64	0,58
5,66	0,59
5,68	0,61
5,71	0,61
5,73	0,63
5,76	0,64
5,78	0,68
5,81	0,68
5,83	0,70
5,86	0,70
5,88	0,73
5,90	0,73
5,93	0,75
5,95	0,74
5,98	0,77
6,00	0,78
6,03	0,80
6,05	0,80
6,08	0,81
6,10	0,83
6,12	0,84
6,15	0,84
6,17	0,84
6,20	0,85
6,22	0,84
6,25	0,85
6,27	0,83
6,30	0,84
6,32	0,82
6,34	0,84
6,37	0,83
6,39	0,86
6,42	0,84
6,44	0,85
6,47	0,83
6,49	0,86
6,52	0,82
6,54	0,83
6,56	0,79
6,59	0,81
6,61	0,77
6,64	0,78
6,66	0,73
6,69	0,74
6,71	0,69
6,73	0,69
6,76	0,64
6,78	0,64
6,81	0,61
6,83	0,59
6,86	0,55
6,88	0,55
6,91	0,52
6,93	0,50
6,95	0,47
6,98	0,46
