Voltage U1	Corriente IA
U1/V	IA/nA

0,02	0,1561
0,04	0,1497
0,07	0,1456
0,09	0,1340
0,12	0,1240
0,14	0,1146
0,17	0,1146
0,19	0,1156
0,21	0,1139
0,24	0,1150
0,26	0,1246
0,29	0,1291
0,31	0,1296
0,34	0,1300
0,36	0,1271
0,39	0,1249
0,41	0,1064
0,43	0,1009
0,46	0,1020
0,48	0,1006
0,51	0,0889
0,53	0,0879
0,56	0,0916
0,58	0,1141
0,61	0,1089
0,63	0,1097
0,65	0,1073
0,68	0,1229
0,70	0,1234
0,73	0,1224
0,75	0,1134
0,78	0,1224
0,80	0,1210
0,83	0,1203
0,85	0,1114
0,87	0,1190
0,90	0,1189
0,92	0,1231
0,95	0,1230
0,97	0,1241
1,00	0,1193
1,02	0,1064
1,05	0,1054
1,07	0,1037
1,09	0,1029
1,12	0,0884
1,14	0,0940
1,17	0,0973
1,19	0,1154
1,22	0,1024
1,24	0,1141
1,26	0,1099
1,29	0,1364
1,31	0,1227
1,34	0,1291
1,36	0,1266
1,39	0,1436
1,41	0,1267
1,44	0,1354
1,46	0,1130
1,48	0,1251
1,51	0,1147
1,53	0,1219
1,56	0,1073
1,58	0,1219
1,61	0,1146
1,63	0,1173
1,66	0,1087
1,68	0,1203
1,70	0,1143
1,73	0,1120
1,75	0,1026
1,78	0,1064
1,80	0,1023
1,83	0,0993
1,85	0,0849
1,88	0,0973
1,90	0,1029
1,92	0,1210
1,95	0,1067
1,97	0,1354
2,00	0,1286
2,02	0,1523
2,05	0,1221
2,07	0,1386
2,10	0,1116
2,12	0,1351
2,14	0,1001
2,17	0,1299
2,19	0,1061
2,22	0,1340
2,24	0,1029
2,27	0,1321
2,29	0,1076
2,31	0,1353
2,34	0,1026
2,36	0,1266
2,39	0,1049
2,41	0,1343
2,44	0,1016
2,46	0,1261
2,49	0,1107
2,51	0,1501
2,53	0,1264
2,56	0,1456
2,58	0,1320
2,61	0,1600
2,63	0,1481
2,66	0,1613
2,68	0,1483
2,71	0,1649
2,73	0,1677
2,75	0,1674
2,78	0,1636
2,80	0,1620
2,83	0,1640
2,85	0,1444
2,88	0,1454
2,90	0,1350
2,93	0,1401
2,95	0,1203
2,97	0,1306
3,00	0,1216
3,02	0,1340
3,05	0,1259
3,07	0,1323
3,10	0,1354
3,12	0,1721
3,15	0,1643
3,17	0,1726
3,19	0,1751
3,22	0,1919
3,24	0,1943
3,27	0,1934
3,29	0,1801
3,32	0,1929
3,34	0,1934
3,36	0,2021
3,39	0,2031
3,41	0,2104
3,44	0,2199
3,46	0,2219
3,49	0,2244
3,51	0,2243
3,54	0,2301
3,56	0,2184
3,58	0,2289
3,61	0,2190
3,63	0,2289
3,66	0,2239
3,68	0,2384
3,71	0,2366
3,73	0,2661
3,76	0,2579
3,78	0,2741
3,80	0,2739
3,83	0,2940
3,85	0,2896
3,88	0,3013
3,90	0,2910
3,93	0,3057
3,95	0,3083
3,98	0,3179
4,00	0,3157
4,02	0,3273
4,05	0,3290
4,07	0,3396
4,10	0,3357
4,12	0,3454
4,15	0,3503
4,17	0,3451
4,20	0,3517
4,22	0,3604
4,24	0,3610
4,27	0,3719
4,29	0,3714
4,32	0,3826
4,34	0,4074
4,37	0,4149
4,39	0,4199
4,42	0,4321
4,44	0,4431
4,46	0,4560
4,49	0,4653
4,51	0,4677
4,54	0,4779
4,56	0,4881
4,59	0,4949
4,61	0,4973
4,63	0,5144
4,66	0,5191
4,68	0,5334
4,71	0,5399
4,73	0,5551
4,76	0,5660
4,78	0,5764
4,81	0,5823
4,83	0,6001
4,85	0,6051
4,88	0,6224
4,90	0,6147
4,93	0,6411
4,95	0,6634
4,98	0,6790
5,00	0,6770
5,03	0,7027
5,05	0,7084
5,07	0,7454
5,10	0,7353
5,12	0,7540
5,15	0,7553
5,17	0,7936
5,20	0,7901
5,22	0,8197
5,25	0,8127
5,27	0,8474
5,29	0,8410
5,32	0,8709
5,34	0,8561
5,37	0,8869
5,39	0,8613
5,42	0,8747
5,44	0,8577
5,47	0,8653
5,49	0,8416
5,51	0,8579
5,54	0,8310
5,56	0,8814
5,59	0,8644
5,61	0,9019
5,64	0,8876
5,66	0,9521
5,68	0,9277
5,71	0,9884
5,73	0,9449
5,76	1,0291
5,78	0,9860
5,81	1,0737
5,83	1,0053
5,86	1,1009
5,88	1,0350
5,90	1,1423
5,93	1,0567
5,95	1,1754
5,98	1,0890
6,00	1,2071
6,03	1,1119
6,05	1,2421
6,08	1,1463
6,10	1,2847
6,12	1,1796
6,15	1,3246
6,17	1,2350
6,20	1,3809
